"","Variable","Unit","Detailed.description","Enter.label.here","Max.40.char","file"
"1","ID",NA,"Subject identifier","Subject identifier",18,"patab.csv"
"2","TIME",NA,"Time","Time",4,"patab.csv"
"3","EVID",NA,"Even identifier","Even identifier",15,"patab.csv"
"4","AMT",NA,"Amount administer","Amount administer",17,"patab.csv"
"5","MDV",NA,"Missing dependent variable","Missing dependent variable",26,"patab.csv"
"6","DV",NA,"Dependent variable","Dependent variable",18,"patab.csv"
"7","PRED",NA,"Population prected response","Population prected response",27,"patab.csv"
"8","RES",NA,"Residual error","Residual error",14,"patab.csv"
"9","WRES",NA,"Weighted residual error","Weighted residual error",23,"patab.csv"
"10","IPRED",NA,"Individual prected response","Individual prected response",27,"patab.csv"
"11","CWRES",NA,"Conditional weighted residual error","Conditional weighted residual error",35,"patab.csv"
"12","IRES",NA,"Individual residual error","Individual residual error",25,"patab.csv"
"13","FORM",NA,"Formulation","Formulation",11,"patab.csv"
"14","FAST",NA,"Fasted condition","Fasted condition",16,"patab.csv"
"15","AGE",NA,"Age","Age",3,"patab.csv"
"16","SEX",NA,"Sex","Sex",3,"patab.csv"
"17","RACE",NA,"Race","Race",4,"patab.csv"
"18","COUNTRY",NA,"Country","Country",7,"patab.csv"
"19","BHT",NA,"Baseline height","Baseline height",15,"patab.csv"
"20","BWT",NA,"Baseline weight","Baseline weight",15,"patab.csv"
"21","BBSA",NA,"Baseline body surface area","Baseline body surface area",26,"patab.csv"
"22","BBMI",NA,"Baseline body massindex","Baseline body massindex",23,"patab.csv"
"23","BALB",NA,"Baseline albumine","Baseline albumine",17,"patab.csv"
"24","ALB",NA,"Albumine","Albumine",8,"patab.csv"
"25","BALP",NA,"Baseline alkaline phosphatase","Baseline alkaline phosphatase",29,"patab.csv"
"26","ALP",NA,"Alkaline phosphatase","Alkaline phosphatase",20,"patab.csv"
"27","BALT",NA,"Baseline alanine aminotransferase","Baseline alanine aminotransferase",33,"patab.csv"
"28","ALT",NA,"Alanine aminotransferase","Alanine aminotransferase",24,"patab.csv"
"29","BAST",NA,"Baseline aspartate aminotransferase","Baseline aspartate aminotransferase",35,"patab.csv"
"30","AST",NA,"Aspartate aminotransferase","Aspartate aminotransferase",26,"patab.csv"
"31","BBILI",NA,"Baseline bilirubin","Baseline bilirubin",18,"patab.csv"
"32","BILI",NA,"bilirubin","bilirubin",9,"patab.csv"
"33","BCREAT",NA,"Baseline creatinine","Baseline creatinine",19,"patab.csv"
"34","CREAT",NA,"Creatinine","Creatinine",10,"patab.csv"
"35","BCRCL",NA,"Baseline creatinine clearance","Baseline creatinine clearance",29,"patab.csv"
"36","CRCL",NA,"Creatinine clearance","Creatinine clearance",20,"patab.csv"
"37","BEGFR",NA,"Baseline estimated glomerular filtration rate","Baseline estimated glomerular filtration rate",45,"patab.csv"
"38","EGFR",NA,"Estimated glomerular filtration rate","Estimated glomerular filtration rate",36,"patab.csv"
"39","TULOC",NA,"Tumor location","Tumor location",14,"patab.csv"
"40","TUTYPE",NA,"tutype","tutype",6,"patab.csv"
"41","ECOG",NA,"ecog","ecog",4,"patab.csv"
"42","PPI",NA,"ppi","ppi",3,"patab.csv"
"43","CYPINH",NA,"cypinh","cypinh",6,"patab.csv"
"44","CYPIND",NA,"cypind","cypind",6,"patab.csv"
"45","BHEPIMP",NA,"bhepimp","bhepimp",7,"patab.csv"
"46","HEPIMP",NA,"hepimp","hepimp",6,"patab.csv"
"47","BRIMPC",NA,"brimpc","brimpc",6,"patab.csv"
"48","RIMPC",NA,"rimpc","rimpc",5,"patab.csv"
"49","BRIMPE",NA,"brimpe","brimpe",6,"patab.csv"
"50","RIMPE",NA,"rimpe","rimpe",5,"patab.csv"
"51","ETA1",NA,"eta1","eta1",4,"patab.csv"
"52","ETA2",NA,"eta2","eta2",4,"patab.csv"
"53","ETA3",NA,"eta3","eta3",4,"patab.csv"
"54","ETA4",NA,"eta4","eta4",4,"patab.csv"
"55","X.ID",NA,"X.ID","X.ID",4,"pkdata.csv"
"56","LNDV",NA,"LNDV","LNDV",4,"pkdata.csv"
"57","RTIME",NA,"RTIME","RTIME",5,"pkdata.csv"
